Source,Harga lama,Harga baru,Judul,No. ISBN,Penerbit,Tanggal terbit,Jumlah Halaman,Berat,Jenis Cover,Dimensi(L x P),Kategori,Bonus,Text Bahasa
https://www.bukukita.com/Buku-Novel/Drama/155261-Laut-Bercerita.html,Rp 115.000,Rp 103.500,Laut Bercerita,9786024246945,Kpg ,Desember - 2017,400,350 gr,Soft Cover,-,Drama,-,Indonesia ·
https://www.bukukita.com/Orang-Tua-dan-Keluarga/Psikologi-&-Pendidikan-Anak/168845-Komunikasi-Qurani.html,Rp 95.000,Rp 80.750,Komunikasi Qurani,9786232201323,Alvabet ,Mei - 2022,-,360 gr,Soft Cover,15x24mm,Psikologi & Pendidikan Anak,-,Indonesia ··
https://www.bukukita.com/Non-Fiksi-Lainnya/Non-Fiksi-Umum/115265-100-Kejadian-Menghebohkan-Tanda-Kekuasaan-Allah.html,Rp 52.000,Rp 44.200,100 Kejadian Menghebohkan Tanda Kekuasaan Allah ,9786027765269,Titik Media ,Juni - 2013,-,250 gr,Soft Cover,-,Non-Fiksi Umum,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/168431-Jalan-Politik-Muhammad-SAW-Mewujudkan-Daulah-Rasul.html,Rp 120.000,Rp 102.000,Jalan Politik Muhammad SAW Mewujudkan Daulah Rasul,9786232201248,Alvabet ,Desember - 2021,512,600 gr,Hard Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Agama/Al-Quran/98068-AS-SALAM-AL-QURAN-TRANSITERASI-ARAB-LATIN.html,Rp 135.000,Rp 114.750,AS SALAM AL-QUR'AN TRANSITERASI ARAB-LATIN,-,Fokus Media ,November - 2011,-,1350 gr,Hard Cover,-,Al-Quran,-,Arab ··
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Psikologi/159650-Tes-Buta-Warna-Untuk-Semua-Keperluan.html,Rp 48.500,Rp 41.225,Tes Buta Warna Untuk Semua Keperluan,9786025907098,Anak Hebat Indonesia ,Oktober - 2018,124,200 gr,Soft Cover,-,Psikologi,-,Indonesia ··
https://www.bukukita.com/Sejarah-dan-Budaya/Kebudayaan/167695-Kebijakan-Pengelolaan-Wisata-Ekoreligi-Berkelanjutan-Berbasis-Mayarakat-Adat-Bali.html,Rp 135.000,Rp 114.750,Kebijakan Pengelolaan Wisata Ekoreligi Berkelanjutan Berbasis Mayarakat Adat Bali,-,Tim Penulis Ni Nyoman ,April - 2021,261,350 gr,Soft Cover,140x210mm,Kebudayaan,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/167475-Fiqhun-Nafs:-Petuah-Dan-Teladan-Inspiratif-Dari-Ulama-Saleh.html,Rp 95.000,Rp 80.750,Fiqhun Nafs: Petuah Dan Teladan Inspiratif Dari Ulama Saleh ,9786237163664,Alifia Books ,April - 2021,424,450 gr,soft cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Agama/Al-Quran/101977-MUSHAF-AL-KABIR.html,Rp 110.000,Rp 93.500,MUSHAF AL-KABIR (cover warna biru),-,Fokus Media ,2012,-,1500 gr,Hard Cover,-,Al-Quran,-,Indonesia ··
https://www.bukukita.com/Buku-Novel/Romance/138043-Sesaat-di-keabadian.html,Rp 64.000,Rp 51.200,Sesaat di keabadian (Edisi TTD),9789797808358,Enter!Media ,Oktober - 2015,136,95 gr,Soft Cover,-,Romance,TTD Penulis+Diskon 20%,Indonesia ··
